Codigo,Descricao,StatusConserto
83,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
84,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
99,CX APOIO RODOVIARIA DE POA,Disponivel
100,CX APOIO ALMOXARIFADO,Disponivel
101,CAIXA APOIO LATOARIA,Disponivel
189,CAIXA FERRAMENTAS LATOEIRO MODELO 01,Disponivel
190,CAIXA FERRAMENTAS ELETRECISTA MODELO 01,Disponivel
191,CAIXA FERRAMENTAS NOVA ( FLN ) Nº191,Disponivel
192,CAIXA FERRAMENTAS MECANICA MODELO 02,Disponivel
193,QUADRO DE FERRAMENTAS ( FLN AR CONDICIONADO ),Disponivel
194,QUADRO DE FERRAMENTAS ( FLN BORRACHARIA),Disponivel
195,QUADRO DE FERRAMENTAS ( FLN ELETRICA),Disponivel
196,QUADRO DE FERRAMENTAS ( FLN OFICINA ),Disponivel
197,QUADRO DE FERRAMENTAS ( FLN MOTOR 1 ),Disponivel
198,QUADRO DE FERRAMENTAS ( FLN MOTOR 2 ),Disponivel
199,QUADRO DE FERRAMENTAS ( FLN MOTOR 3 ),Disponivel
200,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 200,Disponivel
201,CAIXA FERRAMENTAS LAVAÇÃO ( CTB ) Nº 201,Disponivel
202,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 202,Disponivel
203,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 203,Disponivel
204,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 204,Disponivel
205,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 205,Disponivel
206,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 206,Disponivel
207,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 207,Disponivel
208,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº208,Disponivel
209,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 209,Disponivel
210,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 210,Disponivel
211,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 211,Disponivel
212,CAIXA FERRAMENTAS BORRACHEIRO ( CTB ) Nº 212,Disponivel
213,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 213,Disponivel
214,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº214,Disponivel
215,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 215,Disponivel
216,CAIXA FERRAMENTAS MECANICO( CTB ) Nº 216,Disponivel
217,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 217,Disponivel
218,CAIXA FERRAMENTAS BORRACHEIRO ( CTB ) Nº 218,Disponivel
219,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 219,Disponivel
220,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 220,Disponivel
221,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº 221,Disponivel
222,CAIXA FERRAMENTAS LATOEIRO ( CTB ) Nº222,Disponivel
223,CAIXA FERRAMENTAS LATOEIRO ( CTB ) Nº223,Disponivel
224,CAIXA FERRAMENTAS LATOEIRO( CTB ) Nº 224,Disponivel
225,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº225,Disponivel
226,CAIXA FERRAMENTAS SERVICO PREDIAL ( CTB ) Nº226,Disponivel
227,CAIXA FERRAMENTAS SERVIÇOS GERAIS( CTB ) Nº227,Disponivel
228,CAIXA FERRAMENTAS LATOEIRO ( CTB ) Nº228,Disponivel
229,CAIXA FERRAMENTAS MANOBRISTA ( CTB ) Nº 229,Disponivel
230,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº230,Disponivel
231,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº231,Disponivel
232,CAIXA FERRAMENTAS LATOEIRO ( CTB ) Nº232,Disponivel
233,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 233,Disponivel
234,CAIXA FERRAMENTAS ELETRICISTA ( CTB ) Nº 234,Disponivel
235,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº235,Disponivel
236,CAIXA FERRAMENTAS MECANICO ( CTB ) Nº236,Disponivel
237,CAIXA FERRAMENTAS ( CTB ) Nº,Disponivel
238,CAIXA FERRAMENTAS ( CTB ) Nº,Disponivel
239,CAIXA FERRAMENTAS ( CTB ) Nº,Disponivel
240,CAIXA FERRAMENTAS ( CTB ) Nº,Disponivel
241,CAIXA FERRAMENTAS ( CTB ) Nº,Disponivel
242,QUADRO DE FERRAMENTAS LATOARIA ( CTBA ),Disponivel
296,QUADRO DE FERRAMENTAS LATOARIA ( CTBA ),Disponivel
297,QUADRO DE FERRAMENTAS ( CTBA ),Disponivel
298,QUADRO DE FERRAMENTAS ( CTBA ),Disponivel
299,QUADRO DE FERRAMENTAS ( CTBA ),Disponivel
300,CAIXA FERRAMENTAS ( BNU ) Nº 300,Disponivel
301,CAIXA FERRAMENTAS ( BNU ) Nº 301,Disponivel
302,CAIXA FERRAMENTAS ELETRICISTA VAGA ( FLN ) Nº 302,Disponivel
303,CAIXA FERRAMENTAS ( BNU ) Mº 303,Disponivel
304,CAIXA FERRAMENTAS ( BNU ) Nº 304,Disponivel
305,CAIXA FERRAMENTAS MECANICO ( BNU ) Nº 305,Disponivel
306,CAIXA FERRAMENTAS MECANICO ( BNU ) Nº 306,Disponivel
307,CAIXA FERRAMENTAS ( BNU ) Nº 307,Disponivel
308,CAIXA FERRAMENTAS ( BNU ) Nº 308,Disponivel
309,CAIXA FERRAMENTAS MECANICO ( BNU ) Nº 309,Disponivel
310,CAIXA FERRAMENTAS ( BNU ) Nº 310,Disponivel
311,CAIXA FERRAMENTAS ( BNU ) Nº 311,Disponivel
312,CAIXA FERRAMENTAS ( BNU ) Nº 312,Disponivel
313,QUADRO DE FERRAMENTAS ( BNU LATOARIA),Disponivel
314,CAIXA FERRAMENTAS ELETRICISTA( CTB ) Nº314,Disponivel
397,QUADRO FERRAMENTAS BLUMENAU,Disponivel
398,QUADRO DE FERRAMENTAS ( BNU PINTURA),Disponivel
399,QUADRO DE FERRAMENTAS ( BNU ELETRICA),Disponivel
400,CAIXA FERRAMENTAS ELETRICISTA ( FOZ ) Nº 400,Disponivel
401,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 401,Disponivel
402,CAIXA FERRAMENTAS AUX MECANICO ( FOZ ) Nº402,Disponivel
403,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 403,Disponivel
404,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 404,Disponivel
405,CAIXA FERRAMENTAS LATOEIRO ( FOZ ) Nº 405,Disponivel
406,CAIXA FERRAMENTAS MECANICO (FOZ ) Nº406,Disponivel
407,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 407,Disponivel
408,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 408,Disponivel
409,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 409,Disponivel
410,CAIXA FERRAMENTAS MECANICO ( FOZ ) Nº 410,Disponivel
497,QUADRO DE FERRAMENTAS ( FOZ OFICINA Nº 03 ),Disponivel
498,QUADRO DE FERRAMENTAS ( FOZ OFICINA Nº 02 ),Disponivel
499,QUADRO DE FERRAMENTAS ( FOZ OFICINA Nº 01 ),Disponivel
500,CAIXA FERRAMENTAS MECANICO ( JOI ) Nº 500,Disponivel
501,CAIXA FERRAMENTAS ( JOI ) Nº 501,Disponivel
502,CAIXA FERRAMENTAS MECANICO ( JOI ) Nº502,Disponivel
503,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 503,Disponivel
504,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
505,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
506,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
507,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
508,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
