Codigo,Descricao,StatusConserto
1201,ALICATE COLOCADOR DE ANEIS DE PISTÃO,Disponivel
1202,CINTA P/ APLICAR ANEIS CAMISA N717 160MM- 1,Disponivel
1203,CINTA P/ APLICAR ANEIS CAMISA N717 160MM- 2,Disponivel
1204,CINTA P/ APLICAR ANEIS CAMISA 80MM- NAO USAR,Disponivel
1205,ARO APOIO SCANIA 99141,Disponivel
1206,CHAVE SACAR PORCA CUBO TRAS RAVEN 800,Disponivel
1207,CHAVE GARRA PORCA RANHURADA RAVEN 350- 1,Disponivel
1208,CHAVE GARRA PORCA RANHURADA RAVEN 350- 2,Disponivel
1209,CHAVE GARRA PORCA RANHURADA RAVEN 350- 3,Disponivel
1210,CHAVE PORCA CUBO TRAS SCANIA- 724560,Disponivel
1211,CHAVE CUBO TRAS RODA VOLVO 734800- 1,Disponivel
1212,CHAVE CUBO TRAS RODA VOLVO 734800- 2,Disponivel
1213,CHAVE PORCA CUBO TRACAO SCANIA- RAVEM 980,Disponivel
1214,CHAVE SACA FLANGE DIFERENCIAL 9996304- 1,Disponivel
1215,CHAVE SACA FLANGE DIFERENCIAL 9996304- 2,Disponivel
1216,CHAVE SACA FLANGE DIFERENCIAL 9996304- 3,Disponivel
1217,ESMERILHADEIRA ANGULAR,Disponivel
1218,EXTRATOR DE BRACO 12614-02,Disponivel
1219,COLOCADOR DE RETENTOR 9998238,Disponivel
1220,COLOCADOR DE RETENTOR 9996437,Disponivel
1221,COLOCADOR DE RETENTOR 9999113- 1,Disponivel
1222,COLOCADOR DE RETENTOR 9999113- 2,Disponivel
1223,FERRAMENTA MONTAGEM SC 99410,Disponivel
1224,GRAMPO SARGENTO CATRACA APERTO RAPIDO 12 POLEGADAS,Disponivel
1225,GRAMPO SARGENTO CATRACA APERTO RAPIDO 12 POLEGADAS,Disponivel
1226,GRAMPO SARGENTO CATRACA APERTO RAPIDO 12 POLEGADAS,Disponivel
1227,SACADOR 9996261,Disponivel
1228,SACADOR CAMISA SCANIA,Disponivel
1229,LUVA (FERRAMENTA B9R) 9990117,Disponivel
1230,COLOCADOR RETENTOR NYLON- 1,Disponivel
1231,COLOCADOR RETENTOR NYLON- 2,Disponivel
1232,BATEDOR RETENTOR NYLON VOLVO 9990166,Disponivel
1233,BATEDOR RETENTOR NYLON VOLVO,Disponivel
1234,EXTRATOR DE ROLAMENTO- 1,Disponivel
1235,EXTRATOR DE ROLAMENTO- 2,Disponivel
1236,COLOCADOR RETENTOR COPO 1,Disponivel
1237,COLOCADOR RETENTOR COPO 2,Disponivel
1238,COLOCADOR RETENTOR COPO 3,Disponivel
1239,SACADOR POLIA ROLAMENTO 87591,Disponivel
1240,MANDRIL SACADOR SCANIA 99303,Disponivel
1241,APLICADOR RETENTOR FRENTE VIRABREQUIM SCANIA,Disponivel
1242,SACADOR PNEUMATICO CX CAMBIO SCANIA,Disponivel
1243,BATEDOR RETENTOR SC 99377,Disponivel
1244,SACADOR DE CAMISA SC 99007,Disponivel
1245,SACADOR PINO EMBUCHAMENTO SC 99298,Disponivel
1246,SERRA PNEUMATICA PUMA AT. 6011- 1,Disponivel
1247,SERRA PNEUMATICA PUMA AT. 6011- 2,Disponivel
1248,SACADOR UN INJETORA COM GANCHO,Disponivel
1249,ESQUADRO PEQUENO 1,Disponivel
1250,SERRA COPO 121MM,Disponivel
1251,SERRA COPO 105MM,Disponivel
1252,SERRA COPO 92MM,Disponivel
1253,SERRA COPO 70MM,Disponivel
1254,SERRA COPO 76MM,Disponivel
1255,SERRA COPO 60MM,Disponivel
1256,SERRA COPO 64MM,Disponivel
1257,SERRA COPO 51MM,Disponivel
1258,SERRA COPO 44MM,Disponivel
1259,SERRA COPO 51MM,Disponivel
1260,SERRA COPO 38MM,Disponivel
1261,SERRA COPO 40MM,Disponivel
1262,SERRA COPO 32MM,Disponivel
1263,SERRA COPO 25MM,Disponivel
1264,GRAMPO SARGENTO CATRACA APERTO RAPIDO 12 POLEGADAS,Disponivel
1265,SERRA COPO 16MM,Disponivel
1266,ESQUADRO PEQUENO 2,Disponivel
1267,"CHAVE GRINFO 24""- UN III",Disponivel
1268,REBITADEIRA MANUAL GRANDE,Disponivel
1269,SARGENTO CASEIRO (colocar pistão),Disponivel
1270,ESTICADOR DE CHAPA LATERAL GRANDE,Disponivel
1271,ESTICADOR DE CHAPA LATERAL PEQUENO,Disponivel
1272,CHAVE INGLESA,Disponivel
1273,CHAVE INGLESA,Disponivel
1274,MANOMETRO VOLVO 3,Disponivel
1275,MANOMETRO VOLVO 4,Disponivel
1276,RELOGIO COMPARADOR MYTUTOYO Nº 2046F,Disponivel
1277,RELOGIO COMPARADOR MYTUTOYO Nº 2044S,Disponivel
1278,RELOGIO COMPARADOR 03576 MEDIDOR DE AGULHA,Disponivel
1279,COLOCADOR DE ROSCA POSTICA,Disponivel
1280,ADAPTADOR 3/4 X 1,Disponivel
1281,ADAPTADOR 3/4 X 1,Disponivel
1282,ADAPTADOR 1 POL X 3/4,Disponivel
1283,SACADOR HASTE LIMPADOR,Disponivel
1284,KIT FLANGEADOR CANO COBRE,Disponivel
1285,PISTOLA MEDIDORA TEMPERATURA RAYTEK,Disponivel
1286,TESTE DE SISTEMA EGS,Disponivel
1287,DETECTOR DE VAZAMENTO CPS LS80B,Disponivel
1288,ALICATE AMPERIMETRO AD- 8800 ICEL,Disponivel
1289,TERMOMETRO PORTATIL PARA MEDIR PONTOS DISTINTOS,Disponivel
1290,TERMOMETRO PORTATIL ICEL TD850D,Disponivel
1291,PAQUIMETRO MITUTOYO 0.01 A 150MM,Disponivel
1292,PAQUIMETRO DIGITAL DE PROFUNDIDADE SERIE 3761,Disponivel
1293,TERMOMETRO DIGITAL MIMIPA,Disponivel
1294,AJUSTADOR DE UN INJETORA SC 124 99365,Disponivel
1295,GARFO DA UN B12R 21801388,Disponivel
1296,AJUSTADOR UN INJETORA MANUAL SC 124,Disponivel
1297,FERRAMENTA AJUSTE UN D13 SCANIA 99442,Disponivel
1298,CHAVE TERMINAL Nº1 588198,Disponivel
1299,EXTRATOR DE TERMINAIS ELETRICOS 88890056,Disponivel
1300,EXTRATOR DE TERMINAIS ELETRICOS 88890029,Disponivel
1301,CHAVE TORK E-28 ENC 3/4- NAO USAR,Disponivel
1302,MICROMETRO EXT C/ CATRACA (0- 150MM) MITUTOYO- 1,Disponivel
1303,PEGADOR MAGNETICO TIPO ANTENA,Disponivel
1304,JG DE CHAVE TORK TIPO FENDA SATA,Disponivel
1305,SUGADOR DE SOLDA,Disponivel
1306,ESTETOSCOPIO PARA OUVIR RUDOS DO MOTOR,Disponivel
1307,MULTIMETRO FLUKE 179 PAT. Nº 9730,Disponivel
1308,PENTE DE ROSCA (MEDIDOR DE ROSCA),Disponivel
1309,EXTRATOR VOLVO 9992683,Disponivel
1310,MICROMETRO EXT C/ CATRACA (0- 150MM) MITUTOYO- 2,Disponivel
1311,EXTENSAO .3/4- Nº1,Disponivel
1312,EXTENSAO .3/4- Nº2,Disponivel
1313,EXTENSAO .3/4- Nº3,Disponivel
1314,EXTENSAO .3/4- Nº4,Disponivel
1315,EXTENSAO .3/4- Nº5,Disponivel
1316,EXTENSAO .3/4- Nº6,Disponivel
1317,EXTENSAO .3/4- Nº7,Disponivel
1318,EXTENSAO .3/4- Nº8,Disponivel
1319,"EXTENSÃO CURTA ""1- Nº 01",Disponivel
1320,"EXTENSÃO CURTA ""1- Nº 02",Disponivel
1321,"EXTENSÃO CURTA ""1- Nº 03",Disponivel
1322,CABO DE FORÇA 3/4,Disponivel
1323,"CABO DE FORÇA ""1- Nº 1",Disponivel
1324,CATRACA 3/4,Disponivel
1325,"CABO DE FORÇA ""1- Nº 3",Disponivel
1326,"CABO DE FORÇA ""1- Nº 4",Disponivel
1327,CATRACA .3/4- Nº 1,Disponivel
1328,CATRACA .3/4- Nº 2,Disponivel
1329,MANIVELA .1/2,Disponivel
1330,ALICATE DE ABRIR ANEL GRANDE CATRACA- 1,Disponivel
1331,ALICATE DE ABRIR ANEL GRANDE CATRACA- 2,Disponivel
1332,ALICATE DE ABRIR ANEL GRANDE S/ CATRACA- 1,Disponivel
1333,ALICATE DE ABRIR ANEL GRANDE S/ CATRACA- 2,Disponivel
1334,TRANSFERIDOR 360 GRAUS P/ TANQUE ANGULAR 3/4,Disponivel
1335,TRANSFERIDOR 360 GRAUS P/ TANQUE ANGULAR1/2,Disponivel
1335,TRASFERIDOR DE GRAU,Disponivel
1336,ALICATE PRESSAO COM CORRENTE 44045- Nº1,Disponivel
1337,ALICATE PRESSAO COM CORRENTE 44045- Nº2,Disponivel
1338,GABARITO SENSOR HALL SC 99150,Disponivel
1339,CATRACA .3/4- Nº 3,Disponivel
1340,SACADOR CUBO VOLVO/SCANIA,Disponivel
1341,CINTA P/ SOLTAR FILTRO DIESEL VOLVO 9996670- Nº1,Disponivel
1342,CINTA P/ SOLTAR FILTRO DIESEL VOLVO 9996670- Nº2,Disponivel
1343,CINTA P/ SOLTAR FILTRO DIESEL VOLVO 9996670- Nº3,Disponivel
1344,CINTA P/ SOLTAR FILTRO DIESEL VOLVO 9996670- Nº4,Disponivel
1345,N USARCINTA P/ SOLTAR FILTRO D'AGUA VOLVO B12- Nº1,Disponivel
1346,CINTA P/ SOLTAR FILTRO D'AGUA VOLVO B12- Nº2,Disponivel
1347,CINTA P/ SOLTAR FILTRO D'AGUA VOLVO B12- Nº3,Disponivel
1348,SACA FILTRO COMB. ABERTURA 127-133MM RAVEN,Disponivel
1349,SACA FILTRO COMB. ABER. 127-133MM 101026,Disponivel
1350,SACA FILTRO COMB. ABERTURA 89-92MM RAVEM- 1,Disponivel
1351,SACA FILTRO COMB. ABERTURA 89-92MM RAVEM- 2,Disponivel
1353,CABO DE FORÇA MÉDIO,Disponivel
1354,REGUA DE SUSPENSAO VOLVO B12R 9990185,Disponivel
1355,FERRAMENTA PARA BAIXAR VALVULA,Disponivel
1356,KIT MONTAGEM CAIXA CAMBIO,Disponivel
1357,SACA FILTRO OLEO ABERTURA 105MM 101026,Disponivel
1358,BATEDOR RETENTOR NYLON VOLVO 9990166,Disponivel
1359,MANOMETRO,Disponivel
1360,MANOMETRO,Disponivel
1361,SACA FILTRO COMB. ABERTURA 89-92MM RAVEM- 2,Disponivel
1362,MEDIDOR DE DESGATE TAMBOR GRANDE 1,Disponivel
1363,MEDIDOR DE DESGATE TAMBOR MEDIO,Disponivel
1364,MEDIDOR DE DESGATE TAMBOR GRANDE 2,Disponivel
1365,CACHIMBO DA PORCA DO DIFERENCIAL 4-KM6,Disponivel
1366,CHAVE CONECTOR DE BLOQUEIO 4-KM6,Disponivel
1367,CHAVE CONECTOR DE BLOQUEIO 4-KM6,Disponivel
1368,SACADOR TERMINAL PEQUENO,Disponivel
1369,SACADOR DIVERSOS I,Disponivel
1370,SACADOR DIVERSOS II,Disponivel
1371,SACADOR DIVERSOS III,Disponivel
1372,SACADOR DIVERSOS IIII,Disponivel
1373,CHAVE ABRIR ROLAMENTO TAMBOR,Disponivel
1374,CHAVE CONECTOR DE BLOQUEIO GRANDE,Disponivel
1375,EXTRATOR ROLAMENTO,Disponivel
1376,EBULIDOR DE AGUA (RABO QUENTE),Disponivel
1378,TORQUIMETRO GEDORE L260 N 4556 I,Disponivel
1379,TORQUIMETRO GEDORE PAT N 8338 82-360NM II,Disponivel
1380,TORQUIMETRO GEDORE 75-400MM III-,Disponivel
1381,TORQUIMETRO GEDORE 75-400MM IIII,Disponivel
1382,TORQUIMETRO GEDORE 75-400MM,Disponivel
1383,TORQUIMETRO GEDORE PAT N 9690,Disponivel
1384,TORQUIMETRO,Disponivel
1384,TORQUIMETRO GEDORE PAT 10-100NM,Disponivel
1385,MEDIDOR DE ETILENO EM CTB,Disponivel
1386,MEDIDOR DE ETILENO,Disponivel
1387,MEDIDOR DE ETILENO,Disponivel
1388,SOQUETE ESTRIADO 19MM-3/4,Disponivel
1389,SOQUETE ESTRIADO 19MM-3/4,Disponivel
1390,SOQUETE ESTRIADO 19MM-3/4,Disponivel
1391,PISTOLA PULVERIZADORA CANO LONGO,Disponivel
1392,PISTOLA PULVERIZADORA CANO LONGO,Disponivel
1393,SOQUETE ESTRIADO 22MM-3/4,Disponivel
1394,SOQUETE SEXTAVADO 21 MM-3/4,Disponivel
1395,SOQUETE ESTRIADO 22MM-3/4,Disponivel
1396,SOQUETE ESTRIADO 24MM-3/4,Disponivel
1397,SOQUETE ESTRIADO 24MM-3/4,Disponivel
1398,SOQUETE ESTRIADO 17MM-3/4,Disponivel
1399,SOQUETE SEXTAVADO 17MM-3/4,Disponivel
1400,SOQUETE ESTRIADO 15/16-3/4,Disponivel
1401,FERRAMENTA MANDRILHAR BLOCO SCANIA,Disponivel
1402,SOQUETE ESTRIADO 27MM-3/4,Disponivel
1403,SOQUETE SEXTAVADO 27MM-3/4,Disponivel
1405,SOQUETE ESTRIADO 30MM-3/4,Disponivel
1406,SOQUETE ESTRIADO 30MM-3/4,Disponivel
1407,SOQUETE ESTRIADO 30MM-3/4,Disponivel
1408,SOQUETE ESTRIADO 32MM-3/4,Disponivel
1409,SOQUETE ESTRIADO 32MM-3/4,Disponivel
1410,SOQUETE ESTRIADO 32MM-3/4,Disponivel
1411,SOQUETE SEXTAVADO 36MM-3/4,Disponivel
1412,SOQUETE ESTRIADO 38MM-3/4,Disponivel
1413,SOQUETE ESTRIADO 38MM-3/4,Disponivel
1414,SOQUETE ESTRIADO 32MM-3/4- NAO USAR,Disponivel
1415,SOQUETE ESTRIADO 32MM-3/4- NAO USAR,Disponivel
1416,SOQUETE ESTRIADO 32MM-3/4- NAO USAR,Disponivel
1417,SOQUETE ESTRIADO 41MM-3/4,Disponivel
1418,SOQUETE ESTRIADO 41MM-3/4,Disponivel
1419,SOQUETE ESTRIADO 41MM-3/4,Disponivel
1420,SOQUETE ESTRIADO 46MM-3/4,Disponivel
1422,SOQUETE ESTRIADO 50MM-3/4,Disponivel
1423,SOQUETE ESTRIADO 50MM-3/4,Disponivel
1424,SOQUETE ESTRIADO 52MM-3/4,Disponivel
1425,SOQUETE ESTRIADO 54MM-3/4,Disponivel
1426,SOQUETE ESTRIADO 11/2MM-3/4,Disponivel
1427,GABARITO TAMPA ENGRENAGEM B11,Disponivel
1428,CHAVE OITAVA 122MM,Disponivel
1429,SACADOR TERMINAL DIREÇÃO VOLVO,Disponivel
1430,SACADOR TERMINAL- NAO USAR,Disponivel
1431,SACADOR TERMINAL,Disponivel
1432,SACADOR TERMINAL,Disponivel
1433,TORQUIMETRO DRIVER A 404 2-10NM,Disponivel
1434,LUMINARIA PORTATIL RECARREGAVEL SOLVER I,Disponivel
1435,LUMINARIA PORTATIL RECARREGAVEL SOLVER II,Disponivel
1436,N USAR -LUMINARIA PORTATIL RECARREGAVEL SOLVER III,Disponivel
1437,LUMINARIA PORTATIL RECARREGAVEL SOLVER IV,Disponivel
1438,LUMINARIA,Disponivel
1439,LUMINARIA,Disponivel
1440,CHAVE PARAFUSO PINÇA,Disponivel
1441,EXTENÇAO CHAVE PINÇA,Disponivel
1442,DOBRADEIRA DE CANO,Disponivel
1443,NIKE HIDRAULICA,Disponivel
1444,ESMERILHADEIRA ELÉTRICA /ENVIADO PARA G3,Disponivel
1445,MASCARA SOLDA C/ REG A20,Disponivel
1446,SOQUETE 1/2 CRIADO- NAO USAR,Disponivel
1447,PISTOLA PULVERIZADOR 11L 1,Disponivel
1448,PISTOLA PULVERIZADOR 11L 2,Disponivel
1449,PISTOLA PULVERIZADOR 11L 3,Disponivel
1450,PISTOLA PULVERIZADOR 11L 4,Disponivel
1451,SACADOR PINO EMBUCHAMENTO SCANIA 99298,Disponivel
1452,BATEDOR RETENTOR SCANIA 99377,Disponivel
1453,DENSIMETRO PARA SISTEMAS REFRATOMETRO 778 I,Disponivel
1454,DENSIMETRO PARA SISTEMAS PRESTOVAC II,Disponivel
1455,DENSIMETRO PARA SISTEMAS PRESTOVAC III,Disponivel
1456,DENSIMETRO PARA SISTEMAS REFRATOMETRO 778 IIII,Disponivel
1457,MASCARA SOLDA C/ REG A20,Disponivel
1458,FURADEIRA ELETRICA IMPACTO,Disponivel
1459,PISTOLA DE SIKA MANUAL LONGO,Disponivel
1460,CONEXAO PARA MEDIDOR 1,Disponivel
1461,CONEXAO PARA MEDIDOR 2,Disponivel
1462,CONEXAO PARA MEDIDOR 3,Disponivel
1463,CONEXAO PARA MEDIDOR 4,Disponivel
1464,SACADOR DO FLANGER,Disponivel
1465,ESMERILHADEIRA ELETRICA DEWALT,Disponivel
1466,"PARAFUSADEIRA 14,4 BATERIA LI BOSH F4- AGD NOVA",Disponivel
1467,"PARAFUSADEIRA 14,4 BATERIA LI BOSH F5",Disponivel
1468,JOGO SOQUETE LONGO C/15 PÇ DE 1/2,Disponivel
1469,FRESA VOLVO,Disponivel
1470,BOMBA DE VACUO,Disponivel
1471,BOMBA DE VACUO,Disponivel
1472,BOMBA DE VACUO,Disponivel
1473,TESTE DO OLEO- NAO USAR,Disponivel
1475,CAVALETE UNIDADE INJETORA- NAO USAR,Disponivel
1476,"PARAFUSADEIRA 14,4 BATERIA LI BOSH F6- AGD NOVA",Disponivel
1477,"PARAFUSADEIRA 14,4 BATERIA LI BOSH F7- AGD NOVA",Disponivel
1478,SACADOR TIRANTE REAÇAO VOLVO 9990814,Disponivel
1479,ASPIRADOR DE PO PEQUENO VONDER,Disponivel
1480,PONTEIRA TORKS RETIRAR PINO PINÇA,Disponivel
1481,KIT REPARAÇAO PINÇA DE FREIO- NAO USAR,Disponivel
1482,SUPORTE CAIXA SCANIA QUADRADO,Disponivel
1483,ALICATE REBITADOR DE ROSCA- NAO USAR,Disponivel
1484,ANALISE DE FLUIDOS CAT,Disponivel
1485,PORCA DO FRANGER,Disponivel
1486,COLOCADOR RETENTOR POLIA SCANIA DIANTEIRO,Disponivel
1487,CAIXA DO B12,Disponivel
1488,CHAVE MONTAGEM E DESMONTAGEM SOLENO,Disponivel
1489,SACADOR POLIA VALEO,Disponivel
1490,"PARAFUSADEIRA 14,4 BATERIA LI BOSH F8",Disponivel
1491,ESMERILHADEIRA ELETRICA DEWALT,Disponivel
1492,ALICATE 8- NAO USAR,Disponivel
1493,TORQUIMETRO GEDORE 10-100,Disponivel
1494,CUBO REDONDO- NAO USAR,Disponivel
1495,APLICADOR RETENTOR VOLANTE B11R,Disponivel
1496,PARAFUSADEIRA BOSCH 18V 20 Ah,Disponivel
1497,MULTIMETRO FLUKE 179 PATN 9370,Disponivel
1498,CAIXA KIT ANEIS ORING (3),Disponivel
1499,CHAVE DE IMPACTO PNEUMATICA 3/4,Disponivel
1500,SERRA SABRE A BATERIA MAKITA,Disponivel
1501,TORQUIMETRO GEDORE 10-100NM,Disponivel
1502,TORQUIMETRO GEDORE 10-100NM,Disponivel
1503,ALICATE COLOCADOR DE ANEIS,Disponivel
1504,ALICATE COLOCADOR DE ANEIS,Disponivel
1505,EXTENÇAO CURTA 3/4,Disponivel
1506,EXTENÇAO CURTA 3/4,Disponivel
1507,EXTENÇAO CURTA 3/4,Disponivel
1508,LIXADEIRA ELETRICA,Disponivel
1509,SERRA CIRCULAR,Disponivel
1510,KIT FLANGEADOR CANO COBRE,Disponivel
1511,LIXADEIRA TREME-TREME ELETRICA II,Disponivel
1512,FURADEIRA ELETRICA GRANDE IMPACTO II,Disponivel
1513,GABARITO COMANDO VALVULA II,Disponivel
1514,BASE MAGNETICA II,Disponivel
1515,MANOMETRO II,Disponivel
1516,DOBRADEIRA DE CANO II- NAO USAR,Disponivel
1517,CHAVE CATRACA 3/4 II,Disponivel
1518,CHAVE GRINFO 14 II,Disponivel
1519,SACA FILTRO OLEO ABERTURA 105 MM,Disponivel
1520,CINTA P/ SOLTAR FILTRO LUBRIFICANTE VOLVO,Disponivel
1521,CINTA P/ SOLTAR FILTRO D'AGUA VOLVO B12-N3,Disponivel
1522,SOQUETE 19MM- NAO USAR,Disponivel
1523,SOQUETE 30MM 3/4,Disponivel
1524,.,Disponivel
1525,SOQ ESTRIADO 27MM 3/4,Disponivel
1526,SOQUETE SEXTAVADO 17MM-3/4,Disponivel
1527,CHAVE COMBINADA 18,Disponivel
1528,CHAVE COMBINADA 17,Disponivel
1529,CHAVE COMBINADA 16,Disponivel
1530,CHAVE COMBINADA 15,Disponivel
1531,CHAVE COMBINADA 14,Disponivel
1532,CHAVE COMBINADA 13,Disponivel
1533,CHAVE COMBINADA 12,Disponivel
1534,CHAVE COMBINADA 11,Disponivel
1535,CHAVE CONBINADA 10,Disponivel
1536,CHAVE COMBINADA 09,Disponivel
1537,CHAVE COMBINADA 08,Disponivel
1538,SOQUETE 19- NAO USAR,Disponivel
1539,SOQUETE SEXTAVADO IMPACTO REFORÇADO 19MM-3/4 LONGO,Disponivel
1540,CHAVE ALEM 3/4,Disponivel
1541,CHAVE ALEM 3/4 - PERDIDA,Disponivel
1542,CHAVE ALEM 3/4- NAO USAR,Disponivel
1543,CHAVE ALEM 5/8,Disponivel
1544,CHAVE ALEM 5/8- NAO USAR,Disponivel
1545,CHAVE ALEM 9/16,Disponivel
1546,CHAVE ALEM 9/16,Disponivel
1547,CHAVE ALEM 1/2,Disponivel
1548,CHAVE ALEM 1/2,Disponivel
1549,CHAVE ALEM 1/2,Disponivel
1550,CHAVE ALEM 7/16,Disponivel
1551,CHAVE ALEM 7/16,Disponivel
1552,CHAVE ALEM 3/8,Disponivel
1553,CHAVE ALEM 3/8,Disponivel
1554,CHAVE ALEM 3/8,Disponivel
1555,CHAVE ALEM 19MM,Disponivel
1556,CHAVE ALEM 19MM,Disponivel
1557,CHAVE ALEM 19MM- NAO USAR,Disponivel
1558,CHAVE ALEM 17MM,Disponivel
1559,CHAVE ALEM 17MM- NAO USAR,Disponivel
1560,CHAVE ALEM 19mm (ARTICULADA) SCANIA 3133485,Disponivel
1561,CHAVE ALEM 14MM,Disponivel
1562,CHAVE ALEM 14MM- NAO USAR,Disponivel
1563,CHAVE ALEM 14MM- NAO USAR,Disponivel
1564,CHAVE ALEM 12MM,Disponivel
1565,CHAVE ALEM 11MM,Disponivel
1566,CHAVE ALEM 11MM,Disponivel
1567,CHAVE ALEM 11MM- NAO USAR,Disponivel
1568,CHAVE ALEM 10MM,Disponivel
1569,CHAVE ALEM 09MM- NAO USAR,Disponivel
1570,BATEDOR RETENTOR VOLVO I,Disponivel
1571,BATEDOR RETENTOR VOLVO I,Disponivel
1572,TESTE DE BATERIA DIGITAL,Disponivel
1573,FURADOR DE PNEU,Disponivel
1574,RETIRA ESPAGUETE PNEU,Disponivel
1575,JG CHAVE TORKS CATRACA WURTH- UNI 2,Disponivel
1576,MOTOLIA PARA OLEO 1,Disponivel
1577,TRENA 3 METROS- NAO USAR,Disponivel
1578,PISTOLA DE SILICONE MANUAL GRANDE,Disponivel
1579,PISTOLA DE SILICONE MANUAL MEDIA,Disponivel
1580,MEDIDOR DE DESGATE TAMBOR PEQUENO- NAO USAR,Disponivel
1581,MARRECA DE AGUA 1,Disponivel
1582,MARRECA DE AGUA 2,Disponivel
1583,MARRECA DE AGUA 3,Disponivel
1584,MARRECA DE OLEO 1,Disponivel
1585,MARRECA DE OLEO 2,Disponivel
1586,MARRECA DE OLEO 3,Disponivel
1587,MOTOLIA PARA OLEO 2,Disponivel
1588,MOTOLIA PARA OLEO 3,Disponivel
1589,MOTOLIA PARA OLEO 4,Disponivel
1590,SOQUETE SEXTAVADO IMPACTO REFORÇADO 19MM-3/4 2,Disponivel
1591,CHAVE COMBINADA 10- NAO USAR,Disponivel
1592,SOQUETE 27MM 3/4- REFORÇADO,Disponivel
1593,CHAVE PARA MONTAR E DESMONTAR SOLENÓIDE,Disponivel
1594,MASCARA SOLDA C/ REG A20,Disponivel
1595,MARTELETE PNEUMATICO P/ LONA DE FREIO,Disponivel
1596,SARGENTO PEQUENO,Disponivel
1597,SARGENTO PEQUENO,Disponivel
1598,SARGENTO MEDIO,Disponivel
1599,ESMERILHADEIRA DEWALT 900W,Disponivel
1600,"SARGENTO PEQUENO 8""",Disponivel
1601,"SARGENTO PEQUENO 8""",Disponivel
1602,PA DE LIXO,Disponivel
1603,VIRA-MACHO TIPO T COM CATRACA LONGA,Disponivel
1604,KIT COLOCAÇÃO DE PELICULA,Disponivel
1605,MANOMETRO VOLVO 3- PERMANENTEMENTE EM JOINVILLE,Disponivel
1606,KIT MANOMETRO ALTA/BAIXA,Disponivel
1607,PISTOLA DE IMPACTO PNEUMÁTICO 1/2,Disponivel
1608,CHAVE DE IMPACTO 3/4,Disponivel
1609,CHAVE COMBINADA 19,Disponivel
1610,CANETA GRAVADOR INDUSTRIAL,Disponivel
1611,"PARAFUSADEIRA 14,4 BATERIA BOSCH ",Disponivel
1612,"PARAFUSADEIRA 14,4 BATERIA BOSH (INDISPONIVEL)",Disponivel
1613,RECOLHEDOR,Disponivel
1613,RECOLHEDORA DE GAS,Disponivel
1614,MACACO PNEUMATICO 35TON- 1,Disponivel
1615,MACACO PNEUMATICO 35TON- 2,Disponivel
1616,MACACO PNEUMATICO 35TON- 3,Disponivel
1617,MACACO PNEUMATICO 35TON- 4,Disponivel
1618,MASCARA SOLDA C/ REG A20,Disponivel
1619,MQN SOLDA INV MINI-120- USO EXCL LAT,Disponivel
1620,SERRA COPO 19MM,Disponivel
1621,SERRA COPO 73MM- NAO USAR,Disponivel
1622,SERRA COPO 102MM,Disponivel
1623,SERRA COPO 79MM,Disponivel
1624,JG DE SERRA COPO AÇO CARBONO,Disponivel
1625,SUPORTE SERRA COPO GRANDE,Disponivel
1626,SOQUETE SEXTAVADO 1 1/8-3/4,Disponivel
1627,SOQUETE SEXTAVADO 21MM-3/4- NAO USAR,Disponivel
1628,SOQUETE ESTRIADO 36MM-3/4,Disponivel
1629,CINTA VERDE,Disponivel
1630,BOMBA SANGRIA DE OLEO,Disponivel
1631,SERRA COPO 54MM,Disponivel
1632,COMPUTADOR PRETO SCANIA,Disponivel
1633,COMPUTADOR SCÃNIA,Disponivel
1633,COMPUTADOR SCANIA/VOLVO - ONLINE EM FOZ,Disponivel
1634,CABO VOCOM,Disponivel
1635,CABO VCI3,Disponivel
1635,VCI,Disponivel
1636,ANILHA DE IÇAMENTO,Disponivel
1637,MANDRIL- KIT REPARO CX MARCHA SCANIA,Disponivel
1638,BUCHA MONTAGEM- KIT REPARO CX MARCHA SCANIA,Disponivel
1639,MEDIDOR- KIT REPARO CX MARCHA SCANIA,Disponivel
1640,AJUSTADOR- KIT REPARO CX MARCHA SCANIA,Disponivel
1641,SQT AJUSTADOR- KIT REPARO CX MARCHA SCANIA,Disponivel
1642,MANDRIL APOIO- KIT REPARO CX MARCHA SCANIA,Disponivel
1643,EXTRATOR 3 BRAÇOS- KIT REPARO CX MARCHA SCANIA,Disponivel
1644,FIXADOR- KIT REPARO CX MARCHA SCANIA,Disponivel
1645,BATEDOR/RETENTOR VOLVO,Disponivel
1646,FERRAMENTAS COLOCADOR RODA FONICA TRAS. VOLVO,Disponivel
1647,ALICATE ABRIR /EMBREAGEM,Disponivel
1648,PROGRAMADOR DE TACOGRAFO- ATIVADOR DE KITAS,Disponivel
1649,PORCA REDONDA PARA ESMERILHADEIRA 1,Disponivel
1650,PORCA REDONDA PARA ESMERILHADEIRA 2,Disponivel
1651,PORCA REDONDA PARA ESMERILHADEIRA 3,Disponivel
1652,FLANGE DE MONTAGEM DA ESMERILHADEIRA,Disponivel
1652,FLANGE DE MONTAGEM PARA ESMERILHADEIRA 1,Disponivel
1653,FLANGE DE MONTAGEM PARA ESMERILHADEIRA 2,Disponivel
1654,FLANGE DE MONTAGEM PARA ESMERILHADEIRA 3,Disponivel
1655,SUPORTE DIFERENCIAL TODAS- NÃO USAR,Disponivel
